utterance, prediction, true label
Evaluate stance regarding loftslag. Snippet: Heilar tegundir #Boomers #GenerationX GenerationY #GenZ Þarf frí. 25 ár á grískri eyju, einhver? #HumanExtinction #SemST, none, favor
Evaluate stance regarding hillary. Snippet: Það er ótrúlegt fyrir mig hvernig ef þú vilt örugg landamæri og löglegt ferli innflytjenda sem er skynsamlegt, þá þýðir það að þú sért rasisti. #SemST, none, none
Evaluate stance regarding loftslag. Snippet: @user @user @user @user #CSOTA #fossilfuels corp að villa um fyrir fjárfestum um ábyrgð á #Ecocide #SemST, favor, favor
Evaluate stance regarding hillary. Snippet: @notandi Gerði mér ekki grein fyrir því að ég var í repúblikana bergmálsherbergi gervihneykslismála! Biðjið Gowdy að #Gefa út umritið #ITtrustHillary #SemST, favor, favor
Evaluate stance regarding femínisti. Snippet: @notandi btw ef þér líkar við Chris Brown mun ég setja þig í loga með neistaflugunum mínum! #rhianna #SemST, none, none
Evaluate stance regarding trúleysi. Snippet: RT @user Psalm103:3-Sem fyrirgefur allar misgjörðir þínar; sem læknar alla sjúkdóma þína #SemST, none, against
Evaluate stance regarding loftslag. Snippet: Mikill raki og hiti núna gæti drepið mig og klukkan er bara 10:00. #Flórídavandamál #SemST, none, favor
Evaluate stance regarding femínisti. Snippet: Jafnrétti er lögreglan að jarða ákæru um heimilisofbeldi gegn kvenkyns íþróttastjörnu líka #wedidit #usa #SemST, favor, against
Evaluate stance regarding trúleysi. Snippet: Sonur minn, ver vitur og gleð hjarta mitt, svo að ég megi svara þeim sem smánar mig. Orðskviðirnir 27:11 #SemST, against, against
Evaluate stance regarding fóstureyðing. Snippet: @notandi ef karlmenn væru þeir sem yrðu óléttir væri þetta ekkert mál í Ameríku #Bernie2016 #WomensRights #Solidarity #SemST, favor, favor
Evaluate stance regarding fóstureyðing. Snippet: Hvað með í nauðgunarmálum #SemST, none, favor
Evaluate stance regarding loftslag. Snippet: $500.000 á fánum á 12 mánuðum á móti Mill-Generational Rot sem fjallar um #ThingsToSpendMyTaxesOnOtherThanFlags #SemST, none, none
Evaluate stance regarding femínisti. Snippet: Femínistar í Ameríku hafa ekki hugmynd um hvernig kúgun lítur út #SemST, against, against
Evaluate stance regarding fóstureyðing. Snippet: Ég mun halda upp á #IndependenceDay þegar ALLIR í þessu landi eru jafn frjálsir og búa ekki í ótta og fátækt! #Jafnrétti fyrir alla #p2 #SemST, none, against
Evaluate stance regarding femínisti. Snippet: Ég hélt að þú myndir líka við það @notandi #feministi #SemST, favor, against
Evaluate stance regarding trúleysi. Snippet: Heb 10:12 Eftir að þessi maður hafði fært eina fórn fyrir syndirnar að eilífu, settist hann til hægri handar Guði. #biblían #SemST, favor, against
Evaluate stance regarding fóstureyðing. Snippet: @notandi allir á þinginu ættu að mæta í fóstureyðingaraðgerð, sérstaklega hlutafæðingu sem þeir KJÓSA FYRIR #ccot #tcot #SemST, against, against
Evaluate stance regarding hillary. Snippet: AKA Depends Day &quot;Það veltur allt á&quot; og stöður Owebama gera það að verkum að þú fyllir þitt Depends. @notandi @notandi #SemST, none, none
Evaluate stance regarding femínisti. Snippet: @notandi hæ, geturðu plís rt þetta fólk þarf að vita um þetta!!!!! #feministi #SemST, favor, favor
Evaluate stance regarding hillary. Snippet: Ég velti því fyrir mér hvers vegna nánast allar vinkonur mínar, óháð flokki, segja að þeim finnist Hillary pirrandi. #SemST, against, against
Evaluate stance regarding femínisti. Snippet: Að setja loftkælinguna í á meðan þú ert í sólkjól vegna #SemST, none, none
Evaluate stance regarding fóstureyðing. Snippet: @notandi svo, þú styður valið um hvort þú viljir drepa einhvern eða ekki? Myndir þú drepa fædd barn? #SemST, against, against
Evaluate stance regarding fóstureyðing. Snippet: #TruthTour okkar heldur áfram í #CarletonPlace þar sem við sýnum grafískan sannleika um umferð og gangandi vegfarendur um fóstureyðingar 2! #ShowTheTruth #onpoli #SemST, against, against
Evaluate stance regarding trúleysi. Snippet: Hvar verður þú þegar @notandi flýgur með Plútó? #NewHorizons #PlutoFlyby #Pluto #EndRacism #EndSexism #EndReligion #Peace #SemST, favor, favor
Evaluate stance regarding fóstureyðing. Snippet: Lög sem styðja líf hafa aðeins áhrif á konur þannig að andstæðingar eru í lagi með þessi lög vegna þess að lögin meiða aðeins konur #SemST, against, favor
Evaluate stance regarding hillary. Snippet: @notandi Nefndin þín hefur EKKERT!, 4 aðrar nefndir fundu EKKERT! UR að eyða peningunum okkar í nornaveiðar. #HillaryClinton #SemST, favor, favor
Evaluate stance regarding hillary. Snippet: @notandi @notandi skiptir ekki máli. Engum er sama þótt Clinton-hjónin geri mistök svo lengi sem tékkarnir halda áfram að koma. #SemST, against, against
Evaluate stance regarding femínisti. Snippet: Femínistar gera mig veikan. Ég er öll fyrir jafnrétti en ekki fyrir femíníska hræsni. #SemST, against, against
Evaluate stance regarding trúleysi. Snippet: @notandi Trúleysingjar móðgast með kristnum táknum + Aðeins þegar þeir eru þvingaðir þar sem þeir eiga ekki heima. #SemST, against, against
Evaluate stance regarding fóstureyðing. Snippet: Til hamingju vinir mínir hjá @user og @user fyrir skuldbindingu þeirra við að fá verkjahæf lög samþykkt. #wiright #theyfeelpain #SemST, against, against
Evaluate stance regarding loftslag. Snippet: Það tók mig bókstaflega bara 10 mínútur að komast inn í strætó því gömul kona þurfti bara að fara fyrir framan alla... #SemST, none, none
Evaluate stance regarding hillary. Snippet: #HillaryonCNN vondi manneskjan flýr þegar enginn er að elta hann - Orðskviðir #SemST, against, against
Evaluate stance regarding femínisti. Snippet: Finnst að hlutirnir verði sannarlega jafnir í hjónabandi þegar ég sé djóksól kastað til „einhleypa konunnar“ í brúðkaupum við hlið sokkabandsins #SemST, favor, against
Evaluate stance regarding hillary. Snippet: HVAÐ ER &quot;ÞRÁÐUR FÍÐLUÖFGI?&quot; #OBAMA #ISIS #ISIL #tcot #Elocution #SemST, none, none
Evaluate stance regarding femínisti. Snippet: Það er kaldhæðnislegt hvernig andfemínísk ógnunarvél hefur drukknað raddir þeirra sem reyna að gagnrýna femínískar hugmyndir borgaralega. #SemST, against, against
Evaluate stance regarding femínisti. Snippet: Stelpur eru slík dýr. Allt sem þeir vilja er kynlíf. Ég vil bara vera nær Guði. #SemST, against, against
Evaluate stance regarding hillary. Snippet: @notandi @notandi ÓLÖGUR INNFLUTNINGUR ER GOTT FYRIR EFNAHAGSHAFA OG GOTT FYRIR BÖRN OKKAR #tcot #SemST, none, none
Evaluate stance regarding trúleysi. Snippet: Þú og ég erum hluti af öllu öðru. Tek undir þetta. #andlegheit #SemST, favor, against
Evaluate stance regarding fóstureyðing. Snippet: Ég held að kona ætti að hafa val um hvað hún á að gera við LÍKAMA SÍN.. En hvað veit ég? Ég er bara kona viss #SemST, favor, against
Evaluate stance regarding loftslag. Snippet: @notandi Stocker: Fiskaflamöguleiki gæti minnkað um allt að 50% á sumum svæðum vegna #hafsúrunar. #CFCC15 #SemST, favor, favor
Evaluate stance regarding fóstureyðing. Snippet: Monk&#39;s Hobbit er kominn aftur á Twitter. #kaþólikkar #SemST, none, none
Evaluate stance regarding femínisti. Snippet: @notandi @notandi ertu að grínast í mér? þannig að þú ert að segja að það réttlæti nauðgun? #nauðgun #smdh #SemST, against, favor
Evaluate stance regarding fóstureyðing. Snippet: RT @notandi Það er svo auðvelt að vera Pro-Choice, sérstaklega þegar þú ert ekki sá sem er að kreista höfuðkúpuna þína. #SemST, against, against
Evaluate stance regarding fóstureyðing. Snippet: Að hlaupa út? Að hlaupa inn? #SemST, none, none
Evaluate stance regarding femínisti. Snippet: Mér líkar við stelpur. Þeir þurfa bara að vita hvar staðurinn er. #SemST, against, against
Evaluate stance regarding trúleysi. Snippet: @notandi @notandi y stjórnmálamenn á d skrifstofu geta boðið upp á iftikar veislur.. Það er sóun á peningum skattgreiðenda. #SemST, against, none
Evaluate stance regarding hillary. Snippet: @notandi Ef @notandi finnur sannanir mun hann afhjúpa #HRC sem hræðilega frambjóðandann sem hún er. #SemST, against, against
Evaluate stance regarding fóstureyðing. Snippet: @notendafóstureyðingar ættu aldrei að vera ólöglegar. Það ætti að vera val barnshafandi einstaklingsins. Sérstaklega ef viðkomandi var nauðgað #SemST, favor, favor
Evaluate stance regarding loftslag. Snippet: Þetta hallærisa sumar er búið. Loftslag er á ferðinni. Doug Kelbaugh #CNU23 #declarationsignee #SemST, favor, favor
Evaluate stance regarding trúleysi. Snippet: Lífið hefur vissulega þann hátt að auðmýkja þig. Þetta síðasta og hálfa ár hefur verið fullt af raunum og þrengingum. En guð! #þolinmæði #SemST, against, against
Evaluate stance regarding hillary. Snippet: @notandi Hér er til óttalausra kvenna sem elta markmið sín. Til hamingju, Team #USA! H #SemST, favor, against
Evaluate stance regarding femínisti. Snippet: Á það við konur? Það er kynferðislegt. Á það ekki við konur? Það er kynferðislegt. Enginn vinningur. #SemST, favor, against
Evaluate stance regarding loftslag. Snippet: Það er júlí og 57 stiga hiti, get ekki ímyndað mér hvernig veturinn mun líða í ár. #ChicagoWeather #SemST, favor, favor
Evaluate stance regarding loftslag. Snippet: 67 gráður á Fahrenheit 8. júlí. Ég elska þetta veður! #PureMichigan #SemST, none, none
Evaluate stance regarding hillary. Snippet: @notandi @notandi hvernig væri að finna fyrir henni #pathtoJAIL #DONOTPASSGO safnaðu meira af #WeThePeople s #SemST, against, against
Evaluate stance regarding hillary. Snippet: @notandi slær Obama vinnunúmer. Kallar það lygi. #istandwithPresidentObama #VoteBlue2016 #HillaryClinton #Democrats #SemST, favor, favor
Evaluate stance regarding femínisti. Snippet: ..Má ég líka bæta því við að mér fannst mjög gaman að horfa á @notanda í #Mardaani :P Tahir, þú varst æðislegur vondi! #Bollywood #SemST, none, against
Evaluate stance regarding femínisti. Snippet: 1 hlutur sem ég lærði af starfi mínu: hurðir sem leiða 2 tækifæri hafa tryggingagjald sem aðeins #forréttindamenn hafa efni á #sadtruth #SemST, against, against
Evaluate stance regarding fóstureyðing. Snippet: Það ætti ekki að vera lög eða fjármögnun sem réttlætir morð á saklausu lífi. #CCOT #pjnet #SemST, against, against
Evaluate stance regarding hillary. Snippet: Hef fulla trú á @user herferð. #stefna #pólitík #SemST, favor, favor
Evaluate stance regarding loftslag. Snippet: @notandi Samt lirfukenning. Samt illa gerð. Enn ómælt. Samt fjölþættir. Ennþá órólegur af albedo. #SemST, none, against
Evaluate stance regarding trúleysi. Snippet: AtheistQ &quot;Leiðsögn Guðs er eina afsökunin fyrir mann sem getur ekki fundið betri réttlætingu fyrir gjörðum sínum. #SemST, favor, favor
Evaluate stance regarding fóstureyðing. Snippet: Árið 1776 drápum við íhaldsmennina, losuðum okkur við þessa vitleysu #hægri #kristna #kirkjuríki #harðstjórn. #Uniteblue #tcot #SemST, none, against
Evaluate stance regarding hillary. Snippet: @notandi ég mun ekki nota c-orðið, svo ég segi bara að allt sem Clinton gerir er &quot;lævís glæfrabragð&quot;. #HillaryonCNN #SemST, favor, against
Evaluate stance regarding loftslag. Snippet: @notandi við verðum að tala um ný eðlileg #SemST, none, none
Evaluate stance regarding loftslag. Snippet: ...lengra minni og strangari réttlætiskennd en við gerum. -W.Berry #SemST, none, none
Evaluate stance regarding hillary. Snippet: Ég held að allt sem hún segir sé lygi. Ég meina ALLT. Ég held að hún heiti ekki einu sinni Hillary. #WakeUpAmerica #SemST, against, against
Evaluate stance regarding trúleysi. Snippet: Megi guðirnir veita mér mörg fleiri sjálfstæðar tónleikar í PDX #intention #SemST, none, against
Evaluate stance regarding fóstureyðing. Snippet: Fóstureyðingarfræðingar og stuðningsmenn þeirra eru ALVÖRU kvenhatarar! #kaþólskt #kristið #framsækið #frjálslynt #SemST, against, against
Evaluate stance regarding hillary. Snippet: #HillaryClinton getur bara ekki sætt sig við þá staðreynd að #Ameríka líkar ekki við hana. #HillaryonCNN #BernieSanders #SemST, against, against
Evaluate stance regarding fóstureyðing. Snippet: @notandi @notandi @notandi @notandi Ég er algjörlega töff með þessa mynd. Var fóstrið ólífvænlegt? Heilsan í hættu? #SemST, favor, against
Evaluate stance regarding fóstureyðing. Snippet: @notandi @notandi @notandi okkur er annt um meiðslin sem verða fyrir forfæddum börnum með #fóstureyðing. #TruthTour #Ottawa #SemST, favor, against
Evaluate stance regarding trúleysi. Snippet: Aserbaídsjan: Biðjið um hjálpræði Ilham Aliyev forseta. #vom #biðja #SemST, none, against
Evaluate stance regarding trúleysi. Snippet: Besta #samsæri í heimi er #trúarbrögð. #vísindi #davincisdemons #SemST, favor, against
Evaluate stance regarding hillary. Snippet: Gaman dagsins: Hillary sagði að hún hafi farið „umfram“ í gagnsæi. Í alvöru? Hvað með 30.000 eytt tölvupósta? #SemST, against, against
Evaluate stance regarding fóstureyðing. Snippet: Viltu frekar láta konur taka hættulegar samsuðu til að framkalla fóstureyðingar eða vita að þær eru að fá örugga og löglega? #SemST, favor, favor
Evaluate stance regarding fóstureyðing. Snippet: Það er fátt leiðinlegra en ungar konur sem eru atvinnulausar. Ég get ekki annað en vorkennt fíflunum. #afturkalla 8. #SemST, against, against
Evaluate stance regarding femínisti. Snippet: Nú skil ég að þú ert femínisti og finnst þetta yndislegt, en þessi fullorðinstími og ég er maðurinn hérna svo hlaupið með. #SemST, against, against
Evaluate stance regarding hillary. Snippet: Heið því í dag að berjast gegn #Fyrstafjölskylduspillingunni .@billclinton .@hillaryclinton og halda henni frá embætti #sjálfstæðismenn #tcot #SemST, against, against
Evaluate stance regarding trúleysi. Snippet: 8 Heilaga María Guðsmóðir, biðjið fyrir okkur syndugum núna og á dauðastundu okkar. Amen. #rósakrans #teamjesus #Guð #SemST, against, against
Evaluate stance regarding loftslag. Snippet: Hef ekki hreyft mig einn tommu síðan í gær. #bcpoli #vancouver #bcwildfire #yvr #realrenewables #SemST, none, none
Evaluate stance regarding hillary. Snippet: @notandi Þetta er óforsvaranlegt! Eitt það heimskulegasta sem ég hef séð herferð gera. Jafnvel vinstrimenn voru reiðir yfir þessu. #SemST, against, none
Evaluate stance regarding hillary. Snippet: Dana gerði þessa skyrtu með fullt af #glitri! #æðislegt #skraut #SemST, none, none
Evaluate stance regarding loftslag. Snippet: @notandi Rettet die Erde! Bjargaðu jörðinni! #SemST, favor, favor
Evaluate stance regarding hillary. Snippet: @notandi Festu skottið á ASNANUM! Það þýðir að þú Hilldawg. #BernieSanders #Jeb2016 #Cruz2016 #Kosningar2016 #Rubio #SemST, against, against
Evaluate stance regarding fóstureyðing. Snippet: C7German: Himnaríki er markmið okkar, lífið er landvinningur okkar #samfélagsmiðlar #tækni #kaþólsk #SemST, none, against
Evaluate stance regarding hillary. Snippet: @notandi @notandi Slæmt fyrir hana er gott fyrir Bandaríkin @notandi #Killary #SemST, against, against
Evaluate stance regarding trúleysi. Snippet: Láttu ótta þinn koma yfir hverja sál í borg minni -Postulasagan 2:43 #SemST, against, against
Evaluate stance regarding hillary. Snippet: Allur dagurinn minn snýst um viðtal @notanda við @notanda á @notanda og ég er í lagi með það! #SemST, none, favor
Evaluate stance regarding hillary. Snippet: Hinir ungu Skinheads frá arísku þjóðunum í gær hafa vaxið úr grasi og verða Teboð dagsins. Sama nákvæm kenning @notandi #SemST, none, none
Evaluate stance regarding trúleysi. Snippet: Þjóðrækni og húmanismi er ómögulegt fyrir þann sem tekur #íslam of alvarlega. #SemST, favor, favor
Evaluate stance regarding femínisti. Snippet: Femínistar, SJWs og aðrir einræðissinnaðir marxistar = slímugir f**ks sem eru hneigðir til heimsyfirráða. Verð bara að segja það. #SemST, against, against
Evaluate stance regarding fóstureyðing. Snippet: @notandi #SB128 er ekki á móti bara b/c það er á móti vilja Guðs (eins og við séum neanderdalsmenn). Það er morð. Eins og #SemST, against, against
Evaluate stance regarding trúleysi. Snippet: Horfðu á @user koma Blazers í úrslitakeppnina #Beast #SemST, none, against
Evaluate stance regarding femínisti. Snippet: Femínismi er haturshópur!! - Twitter notandi sem gerir ekkert annað en að áreita og dreifa hatri. #SemST, against, against
Evaluate stance regarding loftslag. Snippet: Sjávarborðshækkun yfir 6 metra - hvað þýðir það? Það þýðir 20 fet yfir núverandi hæð. #SemST, favor, favor
Evaluate stance regarding trúleysi. Snippet: #humanistakirkjan er nýi klúturinn. #kissTheRing #tcot #SemST, favor, against
Evaluate stance regarding loftslag. Snippet: Við kennum borgum um meirihluta koltvísýringslosunar án þess að viðurkenna varnarleysi þeirra fyrir #CFCC15 #journey2015 #S2228 #SemST, favor, favor
Evaluate stance regarding trúleysi. Snippet: @notandi @notandi skerða viljandi fáfræði þína alla leið til frelsis frá trúarbrögðum. Besta plan ever! #SemST, favor, against
Evaluate stance regarding fóstureyðing. Snippet: Fallopians 3:16 &quot;Ekki helvítis meðgangan þín - ekki helvítis viðskiptin þín!&quot; #SemST, favor, favor
Evaluate stance regarding trúleysi. Snippet: Exo.20.13-15 - ...Ekki drýgja morð...EKKI DRÆJA HJÓÐ...Ekki stela. #SemST, none, against
Evaluate stance regarding femínisti. Snippet: @notandi @notandi góður en sá fyrsti er tæknilega röng staðreynd en hvað sem er yay #SemST, none, against
Evaluate stance regarding hillary. Snippet: Maður spyr sig, ef ríkisstjórn þín hunsar lögin, getum við hin líka ekki satt? Segðu bara nei við #SemST, against, against
Evaluate stance regarding hillary. Snippet: @notandi Hillary er leikstjóri! Þetta er æðislegt! :-) Þeir þurfa að syngja á vígslunni þinni! #SemST, favor, favor
Evaluate stance regarding fóstureyðing. Snippet: Hugmyndin um að „fóstur“ sé ekki mannlegt er svívirðileg, ég meina hvað væri það annars? Hundur? Dreki? Hinir ófæddu eru MENN! #SemST, against, against
Evaluate stance regarding hillary. Snippet: Menntun á ekki að vera skuldadómur! -Fyrrum ríkisfulltrúi Patricia Harper #FellowsIA #SemST, favor, none
Evaluate stance regarding femínisti. Snippet: Innbyrðis kvenfyrirlitning er hræðilegt! Fólk sem hefur misvísandi skoðanir á mér ætti að vera dáið vegna þess að ég er valdsmannslegur #SemST, against, against
Evaluate stance regarding fóstureyðing. Snippet: @notandi: Skoðanir mínar eru mínar. #AllLivesMatter #PrebornLivesMatter #FóstureyðingarEr Ofbeldi #Af hverju ég ætla ekki að kjósa Hillary #SemST, against, against
Evaluate stance regarding hillary. Snippet: HRC er stríðsáróður, jafn slæmur og allir repúblikani í keppninni og sennilega verri en sumir. #SemST, against, against
Evaluate stance regarding hillary. Snippet: Hillary Clinton afrek dagsins: framlengdi fullan hernaðarávinning til varaliða og þjóðvarðliðsmanna. #SemST, favor, favor
Evaluate stance regarding femínisti. Snippet: Frægt fólk, vinsamlegast hættu að lýsa yfir sjálfan þig „ekki femínista“ og lita það með öðru hugtaki. #jafnrétti #sama #SemST, favor, favor
Evaluate stance regarding femínisti. Snippet: Sá eitthvað um að Facebook hreyfði kyntáknunum. Konur lifa opinberlega ekki í skugga karlmanns! #InternetWin #SemST, favor, favor
Evaluate stance regarding trúleysi. Snippet: Skoðaðu Honest Liar á Netflix. James Randi er magnaður. #efasemdum #SemST, favor, none
Evaluate stance regarding hillary. Snippet: @notandi Takk fyrir að fylgjast með, að hann er lang sætasta avatar sem ég hef séð, Guð blessi ykkur öll! #freealfour #SemST, none, none
Evaluate stance regarding fóstureyðing. Snippet: @notandi Að fæða er ekki að ýta konum í átt að dauðanum. #SemST, favor, against
Evaluate stance regarding fóstureyðing. Snippet: @notandi @notandi @notandi „Náttúruleg“ fjölskylduskipulag er alls ekki „áætlanagerð“ þar sem það bara virkar ekki. #SemST, against, against
Evaluate stance regarding trúleysi. Snippet: @notandi Ég mun vera þinn huckleberry @notandi #SemST, none, against
Evaluate stance regarding loftslag. Snippet: @notandi já Catherine, framtíð mannlegrar siðmenningar veltur á þessari kynslóð og hvernig hún virkar á #Auspol #SemST, favor, favor
Evaluate stance regarding fóstureyðing. Snippet: Ég styð @notanda vegna þess að ég vil sjá Planned Parenthood horfið. #SemST, against, against
Evaluate stance regarding femínisti. Snippet: Hvernig á að kúga sterka og sjálfstæða konu? Sittu á ákveðinn hátt... #manspreading #SemST, against, against
Evaluate stance regarding trúleysi. Snippet: Eigum við að taka #DNA við fæðingu hverrar manneskju á jörðinni? #vísindi #hagfræði #SemST, none, none
Evaluate stance regarding fóstureyðing. Snippet: RT @notandi &quot;Af hverju heldur ríkisstjórnin ekki þjóðaratkvæðagreiðslu um fóstureyðingar?&quot; spyr UN CESCR Mbr Pillay #UNIRL #SemST, none, against
Evaluate stance regarding loftslag. Snippet: Það er mest spennandi að verða vitni að mikilli þróun! @notandi #SemST, none, none
Evaluate stance regarding femínisti. Snippet: Margir femínistar eru að lofa Hope sóló!! Hún( heimilisofbeldi) er orðin átrúnaðargoð þeirra!! #SemST, against, against
Evaluate stance regarding fóstureyðing. Snippet: @notandi Ekki verða ólétt! Gakktu úr skugga um að þú verðir ekki ólétt ef þú myndir bara drepa barnið þitt ef þú gerir það! @notandi #SemST, against, against
Evaluate stance regarding loftslag. Snippet: Eftir boðið eingöngu Climate Summit of the Americas á netinu í gegnum twitter #CSOTA #Toronto #environment #COP21 #climate #SemST, favor, favor
Evaluate stance regarding femínisti. Snippet: Ef konur væru ekki með brjóst væri einhverjum okkar alveg sama lengur? #SemST, against, against
Evaluate stance regarding fóstureyðing. Snippet: Lífið er heilagt á öllum stigum. Fóstureyðing er ekki í samræmi við hugmyndafræði mína. Kate Mulgrew @notandi (Rautt á #OITNB ) #SemST, against, against
Evaluate stance regarding femínisti. Snippet: Karlar og konur ættu að hafa jafnan rétt, við erum öll mannleg... #SemST, favor, favor
