s38-000069	Sérhæft teymi setur upp hátíðina	t013685	sérhæft teymi setur upp hátíðina
s38-000070	Þetta frumvarp er slæmt, við segjum nei, píratar allir.	t020883	þetta frumvarp er slæmt við segjum nei píratar allir
s38-000071	Efst á baugi voru þó hnökrar í samstarfinu við Samfylkinguna.	t002200	efst á baugi voru þó hnökrar í samstarfinu við samfylkinguna
s38-000072	En í maí er yfirleitt ekki hægt að kjósa á Íslandi.	t004428	en í maí er yfirleitt ekki hægt að kjósa á íslandi
s38-000073	Ferð svo inn á hjartaás og spilar tígulníu.	t005215	ferð svo inn á hjartaás og spilar tígulníu
s38-000074	Hún sá felmtur og furðu í svip sjálfrar sín.	t008285	hún sá felmtur og furðu í svip sjálfrar sín
s38-000075	Alda Hrönn steig til hliðar hjá embættinu um miðjan október.	t000589	alda hrönn steig til hliðar hjá embættinu um miðjan október
s38-000076	Það sé alveg augljóst mál.	t018229	það sé alveg augljóst mál
s38-000077	Björn Oddsson hjá Jarðvísindastofnun H.Í. flaug yfir gosið í morgun.	t001687	björn oddsson hjá jarðvísindastofnun h í flaug yfir gosið í morgun
s38-000078	Sum kvöld var hann ör og óútreiknanlegur, önnur þögull og myrkur.	t014759	sum kvöld var hann ör og óútreiknanlegur önnur þögull og myrkur
s38-000079	Stefnandi hafi verið þaulvanur og hann gjörþekkti aðstæður.	t014474	stefnandi hafi verið þaulvanur og hann gjörþekkti aðstæður
s38-000080	Öll úrslit dagsins má sjá hér að neðan.	t012673	öll úrslit dagsins má sjá hér að neðan
s38-000081	Daði Örn Jónsson Hannes Hlífar Stefánsson	t001927	daði örn jónsson hannes hlífar stefánsson
s38-000082	Konurnar hugðust sigla frá Havaí til Tahítí.	t010048	konurnar hugðust sigla frá havaí til tahítí
s38-000083	Ríkið leggur um milljarð í þennan málaflokk á höfuðborgarsvæðinu, eigendur Strætó auka einnig sitt framlag.	t013173	ríkið leggur um milljarð í þennan málaflokk á höfuðborgarsvæðinu eigendur strætó auka einnig sitt framlag
s38-000084	Björn Pálsson hafi fylgt honum og verið sá eini.	t001689	björn pálsson hafi fylgt honum og verið sá eini
s38-000085	Tónlistin er sambland af afrískum ryþma, poppi og rokki.	t015483	tónlistin er sambland af afrískum ryþma poppi og rokki
s38-000086	Aðgerðahópur metur hvort flytja eigi sauðfé yfir varnarlínur.	t000125	aðgerðahópur metur hvort flytja eigi sauðfé yfir varnarlínur
s38-000087	Með myndinni fylgdi svohljóðandi texti.	t010936	með myndinni fylgdi svohljóðandi texti
s38-000088	Því sökin er hjá henni.	t021641	því sökin er hjá henni
s38-000089	Svín eru ekki óþrifalegar skepnur ef þau fá nóg pláss.	t014893	svín eru ekki óþrifalegar skepnur ef þau fá nóg pláss
s38-000090	Við erum með áfallahjálp til að hlúa að örvæntingarfullum unglingum.	t016367	við erum með áfallahjálp til að hlúa að örvæntingarfullum unglingum
s38-000091	Kostnaður við verkið hleypur á tugum milljóna.	t010065	kostnaður við verkið hleypur á tugum milljóna
s38-000092	Þríeykið í stjórn Seðlabankans er afleiðing úrelts pólitísks lénsskipulags.	t021368	þríeykið í stjórn seðlabankans er afleiðing úrelts pólitísks lénsskipulags
s38-000093	Í leikhléi sauð svo upp úr á hliðarlínunni þegar leikmenn gengu til búningsklefa.	t009124	í leikhléi sauð svo upp úr á hliðarlínunni þegar leikmenn gengu til búningsklefa
s38-000094	Reynt var að hreinsa Miklubraut, Hringbraut og einhverjar fleiri stofnæðar í nótt.	t013160	reynt var að hreinsa miklubraut hringbraut og einhverjar fleiri stofnæðar í nótt
s38-000095	Píratar í Reykjanesbæ héldu stofnfund sinn í dag.	t012908	píratar í reykjanesbæ héldu stofnfund sinn í dag
s38-000096	Þá hefur einnig borist svohljóðandi bréf.	t018922	þá hefur einnig borist svohljóðandi bréf
s38-000097	Athöfnin fór fram í skógi norðan Óslóar.	t001184	athöfnin fór fram í skógi norðan óslóar
s38-000098	Vanmetakenndin gaus þó ekki síst upp hjá Ögmundi Jónassyni.	t016014	vanmetakenndin gaus þó ekki síst upp hjá ögmundi jónassyni
s38-000099	Fela þau í sér kúgun og ofbeldi?	t005193	fela þau í sér kúgun og ofbeldi
s38-000100	Kóngulóarvefirnir, leðjan, mosinn og skófirnar flutu burt.	t010035	kóngulóarvefirnir leðjan mosinn og skófirnar flutu burt
s38-000101	Nei, ég ætla sko ekki að skrifa upp á það.	t011583	nei ég ætla sko ekki að skrifa upp á það
s38-000102	En aðeins meira um þetta með ögunina.	t004118	en aðeins meira um þetta með ögunina
s38-000103	Maóistar vilja að herforinginn víki úr embætti.	t010785	maóistar vilja að herforinginn víki úr embætti
s38-000104	Túristar hröktust um í norðanbálinu.	t015524	túristar hröktust um í norðanbálinu
s38-000105	Það sem lengi taldist vera aukastarf er nú full tæm djobb.	t018252	það sem lengi taldist vera aukastarf er nú full tæm djobb
s38-000106	Tilburðir til að réttlæta þetta mál eru svo aumkunarverðir að engu tali tekur.	t015281	tilburðir til að réttlæta þetta mál eru svo aumkunarverðir að engu tali tekur
s38-000107	Stopp, nei takk, hingað og ekki lengra.	t014580	stopp nei takk hingað og ekki lengra
s38-000108	Átak Barnaheilla, Jólapeysan, hófst í dag.	t001177	átak barnaheilla jólapeysan hófst í dag
s38-000109	Um þetta snúast öll þessi upphlaup í vetur.	t015782	um þetta snúast öll þessi upphlaup í vetur
s38-000110	Íhaldssöm kynhlutverk birtast oft ómeðvitað, bæði hjá körlum og konum.	t009068	íhaldssöm kynhlutverk birtast oft ómeðvitað bæði hjá körlum og konum
s38-000111	Þar er ákaflega mikið af aldurhnignum félagsmönnum.	t019164	þar er ákaflega mikið af aldurhnignum félagsmönnum
s38-000112	Sjáðu alla gufuna, Marta, þetta er bara eins og í þungarokksvídeói.	t013954	sjáðu alla gufuna marta þetta er bara eins og í þungarokksvídeói
s38-000113	Þau eru öll áttræð þessa dagana.	t019568	þau eru öll áttræð þessa dagana
s38-000114	Louis voru ekki alveg keyrðir eins þétt og gert er nú.	t010573	louis voru ekki alveg keyrðir eins þétt og gert er nú
s38-000115	Styrmir Gunnarsson spyr hvort Reykjavík sé orðin„ rauð“.	t014684	styrmir gunnarsson spyr hvort reykjavík sé orðin rauð
s38-000116	Þau þola þetta frumvarp ekki.	t019746	þau þola þetta frumvarp ekki
s38-000117	Jamm, hér er víst hægt að hnjóta um hnullung, sagði hann.	t009586	jamm hér er víst hægt að hnjóta um hnullung sagði hann
s38-000118	Viðbrögðin eru svo öll á eina leið.	t016312	viðbrögðin eru svo öll á eina leið
s38-000119	Sveinn segir þetta skýrast af því að rauðkálið sé komið í tísku.	t014878	sveinn segir þetta skýrast af því að rauðkálið sé komið í tísku
s38-000120	Áin er dökk og mikill fnykur frá henni.	t000548	áin er dökk og mikill fnykur frá henni
s38-000121	Þetta gæti átt við þá sem hafa smogið fram hjá dyrum góðærisins.	t020887	þetta gæti átt við þá sem hafa smogið fram hjá dyrum góðærisins
s38-000122	Sá ótti er alveg ástæðulaus.	t013516	sá ótti er alveg ástæðulaus
s38-000123	Nokkrir tugir virtu það að vettugi.	t011813	nokkrir tugir virtu það að vettugi
s38-000124	Jæja, þá vitum við það.	t009530	jæja þá vitum við það
s38-000125	Við fáum tvö rúm, einn skenk með spegli, borð og tvo stóla.	t016390	við fáum tvö rúm einn skenk með spegli borð og tvo stóla
s38-000126	Nú mun kannske einhver segja, að eins dauði sé annars brauð.	t011992	nú mun kannske einhver segja að eins dauði sé annars brauð
s38-000127	Til hvers að æsa sig út af þessu öllu.	t015312	til hvers að æsa sig út af þessu öllu
s38-000128	Egill Helgason er þó augljóslega önnur undantekning.	t002924	egill helgason er þó augljóslega önnur undantekning
s38-000129	Hún var áfram í Hraunsnesi.	t008387	hún var áfram í hraunsnesi
s38-000130	Árni Gunnarsson bjó til prentunar.	t000994	árni gunnarsson bjó til prentunar
s38-000131	Á tveimur stöðum mælist þó of mikið flúor í fóðri fyrir mjólkandi kýr og ær.	t001243	á tveimur stöðum mælist þó of mikið flúor í fóðri fyrir mjólkandi kýr og ær
s38-000132	En nú hleypir þjóðin líka þeirri samvinnu í uppnám.	t004551	en nú hleypir þjóðin líka þeirri samvinnu í uppnám
s38-000133	Um tvö þúsund manns eru nú á Austurvelli.	t015744	um tvö þúsund manns eru nú á austurvelli
s38-000134	Hún fer ofan í dunkinn og tekur upp kringlóttar hafrakökur.	t008068	hún fer ofan í dunkinn og tekur upp kringlóttar hafrakökur
s38-000135	Ákærðu Einar Jökull, Alvar, Guðbjarni og Marinó Einar.	t000569	ákærðu einar jökull alvar guðbjarni og marinó einar
s38-000136	Þá sést að hurð er á hjörum á baðherbergi.	t019506	þá sést að hurð er á hjörum á baðherbergi
s38-000137	Ég óska Alþingi Íslendinga heilladrjúgra úrræða og athafna.	t003052	ég óska alþingi íslendinga heilladrjúgra úrræða og athafna
s38-000138	Var tekin sú ákvörðun að farga bæði hrútnum og hundinum.	t016068	var tekin sú ákvörðun að farga bæði hrútnum og hundinum
s38-000139	Ég hef svo sem ekki pælt þannig í því.	t002736	ég hef svo sem ekki pælt þannig í því
s38-000140	Af því að Reykjavík kom svo illa út.	t000486	af því að reykjavík kom svo illa út
s38-000141	Danirnir kaupa sér bara stígvél, sko, og brosa alveg út að eyrum.	t001964	danirnir kaupa sér bara stígvél sko og brosa alveg út að eyrum
s38-000142	Láttu frænkurnar hressa uppá þig, sagði Óskar.	t010251	láttu frænkurnar hressa uppá þig sagði óskar
s38-000143	Og hvaða utanríkisstefnu ætlar svona stjórn að hafa?	t012273	og hvaða utanríkisstefnu ætlar svona stjórn að hafa
s38-000144	Denni bar sig þó karlmannlega.	t001996	denni bar sig þó karlmannlega
s38-000145	Það kom aldrei til rannsóknar.	t018095	það kom aldrei til rannsóknar
s38-000146	Afturábak og út til hliða.	t000467	afturábak og út til hliða
s38-000147	Og svo þegar við þrífum þá bara drepum við hana niður í daufum pækli.	t012397	og svo þegar við þrífum þá bara drepum við hana niður í daufum pækli
s38-000148	Orðaforðinn er slíkur að sjaldnast dugar að hafa færri en tvö orð yfir hvern hlut.	t012720	orðaforðinn er slíkur að sjaldnast dugar að hafa færri en tvö orð yfir hvern hlut
s38-000149	Guð styrki alla sem hafa sýnt okkur samúð af alhug.	t006097	guð styrki alla sem hafa sýnt okkur samúð af alhug
s38-000150	Verslanir nutu einnig góðs af auknum ferðamannastraumi.	t016258	verslanir nutu einnig góðs af auknum ferðamannastraumi
s38-000151	Ég vona að það sé íslenska.	t003480	ég vona að það sé íslenska
s38-000152	Þar hefur snjó kyngt niður og allt flug legið niðri.	t019255	þar hefur snjó kyngt niður og allt flug legið niðri
s38-000153	Það er eina konkret svarið sem við höfum fengið.	t017248	það er eina konkret svarið sem við höfum fengið
s38-000154	Staða okkar á hnettinum veitir okkur þetta skjól.	t014422	staða okkar á hnettinum veitir okkur þetta skjól
s38-000155	Átti hann þá ófá erindi við forseta.	t001231	átti hann þá ófá erindi við forseta
s38-000156	Ef þetta gengur upp þýðir það endalok mergæxlis.	t002316	ef þetta gengur upp þýðir það endalok mergæxlis
s38-000157	Sjö til viðbótar slösuðust þegar skriðan féll.	t014030	sjö til viðbótar slösuðust þegar skriðan féll
s38-000158	Er þetta sá félagsskapur sem maður vill að sjö ára peyi tengist sterkum böndum?	t005072	er þetta sá félagsskapur sem maður vill að sjö ára peyi tengist sterkum böndum
s38-000159	En þurrkar eru ekki það eina sem hefur hrjáð ábúendur.	t004889	en þurrkar eru ekki það eina sem hefur hrjáð ábúendur
s38-000161	Verkalýðsfélög hafa boðað til mótmæla utan við þinghúsið í Aþenu.	t016240	verkalýðsfélög hafa boðað til mótmæla utan við þinghúsið í aþenu
s38-000162	Þannig búa þeir til peninga.	t019043	þannig búa þeir til peninga
s38-000163	Konan reyndi að koma hugmyndum sínum hnökralaust á pappír.	t010024	konan reyndi að koma hugmyndum sínum hnökralaust á pappír
s38-000164	Tilkynnt var um tvö innbrot í nótt.	t015328	tilkynnt var um tvö innbrot í nótt
s38-000165	Helen byrjaði að dansa tangó í Svíþjóð.	t007282	helen byrjaði að dansa tangó í svíþjóð
s38-000166	Það er skerðing sem þarf auðvitað að hrekja til baka.	t017612	það er skerðing sem þarf auðvitað að hrekja til baka
s38-000167	En áfram með þau Jens og Anne.	t004133	en áfram með þau jens og anne
s38-000168	Íbúðabyggð sé þó að mestu utan hættusvæða.	t008956	íbúðabyggð sé þó að mestu utan hættusvæða
s38-000169	Hún hefur þó ekki stórar áhyggjur af hnignun tungumálsins.	t008166	hún hefur þó ekki stórar áhyggjur af hnignun tungumálsins
s38-000170	Betri byggð er byggð, sem hlúir að íbúum sínum jafnt sem öllu umhverfi.	t001615	betri byggð er byggð sem hlúir að íbúum sínum jafnt sem öllu umhverfi
s38-000171	Það sé talið ganga gegn réttarvitundinni.	t018266	það sé talið ganga gegn réttarvitundinni
s38-000172	Dýpkun er ekki lokið í Landeyjahöfn.	t002065	dýpkun er ekki lokið í landeyjahöfn
s38-000173	Ég kveð þau kæru hjón með söknuði og virðingu.	t002969	ég kveð þau kæru hjón með söknuði og virðingu
s38-000174	Þar á bæ hefur lítið breyst.	t019124	þar á bæ hefur lítið breyst
s38-000175	Bouveteyja er afskekktasta eyja í heiminum.	t001834	bouveteyja er afskekktasta eyja í heiminum
s38-000176	Þau fara til Kína þar sem raforkan er framleidd með brennslu jarðefna og koldíoxíði.	t019581	þau fara til kína þar sem raforkan er framleidd með brennslu jarðefna og koldíoxíði
s38-000177	Ekki verður sagt um Ófeig að hann sé hraðvaxta.	t004032	ekki verður sagt um ófeig að hann sé hraðvaxta
s38-000178	Þetta sé auðvitað algjört bull.	t021007	þetta sé auðvitað algjört bull
s38-000179	Það er nefnilega viss hroki í okkur í þessum samskiptum.	t017530	það er nefnilega viss hroki í okkur í þessum samskiptum
s38-000180	Jú, hlutaféð verður ekki selt.	t009722	jú hlutaféð verður ekki selt
s38-000181	Leó Örn telur fullvíst að niðurstaðan þar verði hagstæð fyrir Húnaþing vestra.	t010334	leó örn telur fullvíst að niðurstaðan þar verði hagstæð fyrir húnaþing vestra
s38-000182	Atvinnuvegir og atvinnuöryggi standa tæpt þegar verðbólgan geysist áfram með ógnarhraða.	t001252	atvinnuvegir og atvinnuöryggi standa tæpt þegar verðbólgan geysist áfram með ógnarhraða
s38-000183	Hættan sé mun minni hjá öðrum.	t006189	hættan sé mun minni hjá öðrum
s38-000184	En þannig kann að vera skýrt frá málum að það sé hlutdrægni.	t004789	en þannig kann að vera skýrt frá málum að það sé hlutdrægni
s38-000185	Atvik geti komið upp þar sem fólk ætli sér um of.	t001245	atvik geti komið upp þar sem fólk ætli sér um of
s38-000186	Það ískraði í hjörunum þegar dyrnar opnuðust.	t018079	það ískraði í hjörunum þegar dyrnar opnuðust
s38-000187	Þær eiga ekkert að vera neitt tabú hér á Alþingi.	t018755	þær eiga ekkert að vera neitt tabú hér á alþingi
s38-000188	Svona árás í dagsbirtu á helsta bæ Palestínumanna á vesturbakkanum er óvenjuleg.	t015028	svona árás í dagsbirtu á helsta bæ palestínumanna á vesturbakkanum er óvenjuleg
s38-000189	Svo ég ræskti mig aðeins.	t014925	svo ég ræskti mig aðeins
s38-000190	Hvað ef þú ættir vélmenni?	t008560	hvað ef þú ættir vélmenni
s38-000191	Hér er um tvö aðgreind mál að ræða.	t007409	hér er um tvö aðgreind mál að ræða
s38-000192	Þessi áhugi er ekki nýr af nálinni.	t020330	þessi áhugi er ekki nýr af nálinni
s38-000193	Hver eru mánaðarlaunin hjá kennurum?	t008714	hver eru mánaðarlaunin hjá kennurum
s38-000194	En örugglega ekki að þetta sé íslenskt fyrirbæri.	t004572	en örugglega ekki að þetta sé íslenskt fyrirbæri
s38-000195	Laun þeirra eiga ekkert að minka fyrir það.	t010268	laun þeirra eiga ekkert að minka fyrir það
s38-000196	Þau hljóð heyrðust í fyrsta sinn í tæpa þrjá áratugi að morgni föstudags.	t019617	þau hljóð heyrðust í fyrsta sinn í tæpa þrjá áratugi að morgni föstudags
s38-000197	Það er engin ástæða til að óttast um þá sem innlánsfé eiga.	t017333	það er engin ástæða til að óttast um þá sem innlánsfé eiga
s38-000198	Tekið var fram í auglýsingunni að æskilegar kennslugreinar væru tónmennt og píanókennsla.	t015198	tekið var fram í auglýsingunni að æskilegar kennslugreinar væru tónmennt og píanókennsla
s38-000199	Brotaþoli hafi setið við borð, sem var upp við vegg hægra megin við skenkinn.	t001878	brotaþoli hafi setið við borð sem var upp við vegg hægra megin við skenkinn
s38-000200	Kakó í safnaðarheimilinu á eftir.	t009775	kakó í safnaðarheimilinu á eftir
s38-000201	En ég greip hér með á fundinn tvö heimildarrit um þetta mál.	t004197	en ég greip hér með á fundinn tvö heimildarrit um þetta mál
s38-000202	Sveinn stóð uppi við klettinn og stangaði með puntstrá úr tönnunum.	t014879	sveinn stóð uppi við klettinn og stangaði með puntstrá úr tönnunum
s38-000203	Eygló telur fundinn í gær hafa verið skref í þá átt.	t005094	eygló telur fundinn í gær hafa verið skref í þá átt
s38-000204	Í aðalnámsskrá kemur þó ekki fram krafa um að kynjafræði sé kennd sem sérstök grein.	t008916	í aðalnámsskrá kemur þó ekki fram krafa um að kynjafræði sé kennd sem sérstök grein
s38-000205	Þetta eigum við að gera hleypidómalaust.	t020610	þetta eigum við að gera hleypidómalaust
s38-000206	Er svo orðlaus yfir þessu.	t004983	er svo orðlaus yfir þessu
s38-000207	Eins hafi verið settir upp pallar.	t003738	eins hafi verið settir upp pallar
s38-000208	Lítið lausafé er til í bönkum sem hafa verið lokaðir í tvær vikur.	t010432	lítið lausafé er til í bönkum sem hafa verið lokaðir í tvær vikur
s38-000209	Hvað er sá aukakostnaður mikill?	t008569	hvað er sá aukakostnaður mikill
s38-000210	Fulltrúalýðræði byggir þó einnig á öðrum grunni.	t005658	fulltrúalýðræði byggir þó einnig á öðrum grunni
s38-000211	Alvarleg einkenni frá kjálkaliðum eða tyggivöðvum.	t000786	alvarleg einkenni frá kjálkaliðum eða tyggivöðvum
s38-000212	Við afhentum fasistunum hnúkinn og þökkuðum fyrir lánið.	t016287	við afhentum fasistunum hnúkinn og þökkuðum fyrir lánið
s38-000213	Ef textinn hrífur kallar gamall texti á sömu vinnubrögð og nýr.	t002212	ef textinn hrífur kallar gamall texti á sömu vinnubrögð og nýr
s38-000214	En við eigum von og kannske erum við von.	t004666	en við eigum von og kannske erum við von
s38-000215	Þrjú hjúkrunarheimili eru komin með sitt hjólið hvert.	t021386	þrjú hjúkrunarheimili eru komin með sitt hjólið hvert
s38-000216	Nú eru þau í hönk og kafarar leita þeirra sem áttu þau.	t011921	nú eru þau í hönk og kafarar leita þeirra sem áttu þau
s38-000217	Hvergi í heiminum er framleitt meira af maís og sojabaunum en í Bandaríkjunum.	t008724	hvergi í heiminum er framleitt meira af maís og sojabaunum en í bandaríkjunum
s38-000218	Engin starfsáætlun er í gildi.	t004307	engin starfsáætlun er í gildi
s38-000219	Við skulum gefa okkur að tvö þeirra séu yngri en sjö ára.	t016620	við skulum gefa okkur að tvö þeirra séu yngri en sjö ára
s38-000220	Fuglarnir vega fjögur til sjö kíló.	t005651	fuglarnir vega fjögur til sjö kíló
s38-000221	Hún verður þá að leggjast hreinlega í kör.	t008454	hún verður þá að leggjast hreinlega í kör
s38-000222	En Rauðka hafði það góðan fagmann, að hann sá, að þetta var hægt.	t004577	en rauðka hafði það góðan fagmann að hann sá að þetta var hægt
s38-000223	Já, er það ekki, sagði hann og rétti mér pumpuna.	t009534	já er það ekki sagði hann og rétti mér pumpuna
s38-000224	Nei, hún er búin líka núna.....	t011639	nei hún er búin líka núna
s38-000225	Ég var að horfa hér á pöddur gegnum gervihnött.	t003292	ég var að horfa hér á pöddur gegnum gervihnött
