utterance, prediction, true label
Infer sentiment regarding the aspect: stærð. Snippet: Það er kominn tími á nýja fartölvu og eina umræðan var hvaða stærð af Mac fartölvunum og hvort ætti að springa fyrir sjónhimnuskjáinn., positive, neutral
Infer sentiment regarding the aspect: eftirrétti. Snippet: Því miður, með sýningarmiðana okkar, höfðum við ekki tíma til að smakka eftirrétti., negative, neutral
Infer sentiment regarding the aspect: millistykki. Snippet: Apple fjarlægði DVD drifið Firewire tengið (virkar með millistykki) og setti SDXC raufina í kjánalega stöðu á bakhliðinni., negative, neutral
Infer sentiment regarding the aspect: talnaborði á lyklaborðinu. Snippet: Dell Inspiron er hraðskreiður og með talnaborði á lyklaborðinu, sem ég sakna á Apple fartölvunum mínum., positive, positive
Infer sentiment regarding the aspect: flan. Snippet: Eftirréttir innihalda flan og sopaipillas., positive, neutral
Infer sentiment regarding the aspect: verðmiði. Snippet: Fyrir utan að vera ekki aðdáandi smellupúða (iðnaðarstaðal þessa dagana) og ömurlegu innri hátalara, þá er erfitt fyrir mig að finna hluti um þessa fartölvu sem mér líkar ekki, sérstaklega miðað við $350 verðmiðann., positive, positive
Infer sentiment regarding the aspect: harður diskur. Snippet: Ég skipti harða disknum út fyrir Samsung 830 SSD sem ég mæli eindregið með., positive, neutral
Infer sentiment regarding the aspect: bás við gluggana. Snippet: Í hin skiptin sem ég hef farið er það rómantískt deit-himnaríki, þú getur gengið inn og fengið bás við gluggana, komið fram við þig eins og VIP á ekki fjölmennum stað, með frábærum mat og þjónustu., positive, neutral
Infer sentiment regarding the aspect: hrísgrjónaréttir. Snippet: hrísgrjónaréttir og núðluréttir fara sjaldan yfir $5 og bættu við hressandi ísdrykk fyrir $2 og þú ert klár í kvöldið!, positive, positive
Infer sentiment regarding the aspect: ThunderBolt. Snippet: USB3 jaðartæki eru áberandi ódýrari en ThunderBolt., negative, negative
Infer sentiment regarding the aspect: Seafood Paella fyrir tvo. Snippet: Farðu í Seafood Paella fyrir tvo., positive, positive
Infer sentiment regarding the aspect: Seagate Momentus XT hybrid drif. Snippet: Þegar öllu var á botninn hvolft notaði ég í rauninni þennan $450 sparnað til að kaupa 16GB af vinnsluminni, TVEIR Seagate Momentus XT blendingsdrif og OWC uppfærslusett til að setja upp seinni harða diskinn., positive, neutral
Infer sentiment regarding the aspect: mat. Snippet: Vertu viss um að fylgja matnum þínum með einni af ferskum safasamsetningum þeirra., positive, neutral
Infer sentiment regarding the aspect: starfsfólk. Snippet: Starfsfólkið er 100% ítalskt og maturinn eins ekta og hann gerist., positive, positive
Infer sentiment regarding the aspect: sælgæti. Snippet: Besti eftirrétturinn, súkkulaði- og hnetusmjörsterta, er ekkert sérstaklega Hawaiian, en það er lítill heimur þegar kemur að sælgæti., positive, neutral
Infer sentiment regarding the aspect: þakbar. Snippet: Búðu til fleiri borð - kannski þakbar?, positive, neutral
Infer sentiment regarding the aspect: kjötmikið chili. Snippet: Þykkar franskar, kjötmikið chili og fylltar bakaðar kartöflur fullkomna matseðil sem inniheldur flott, ofurþykkt súkkulaði Frosty., positive, neutral
Infer sentiment regarding the aspect: gæði. Snippet: Geturðu keypt hvaða fartölvu sem er sem samsvarar gæðum MacBook?, positive, positive
Infer sentiment regarding the aspect: matargerð. Snippet: Fínt rými, svo framarlega sem það verður ekki of fjölmennt og einhuga alúð við matargerðina sem hún hefur valið gera Mare að frábæru vali fyrir sjávarfangsunnendur., positive, positive
Infer sentiment regarding the aspect: hörpuskel. Snippet: Við byrjuðum á hörpuskel og aspas og fengum líka mjúkskeljakrabbann sem og ostadiskinn., positive, neutral
Infer sentiment regarding the aspect: spila leik. Snippet: Vifta kviknar aðeins þegar þú ert að spila leik., positive, neutral
Infer sentiment regarding the aspect: skönnun. Snippet: Eina vandamálið kom þegar ég reyndi að skanna í Mac., neutral, negative
Infer sentiment regarding the aspect: þjónustustúlka. Snippet: Afgreiðslustúlkan kom til að sækja sojasósuna MEÐAN við borðuðum hádegismatinn!!!!!, positive, negative
Infer sentiment regarding the aspect: sjávarfang. Snippet: Ef þér líkar við sjávarfang og/eða grískan mat muntu elska þennan stað þó hann sé ekki takmarkaður við bara þessa hluti., positive, positive
Infer sentiment regarding the aspect: hugbúnaður. Snippet: Skjárinn, hugbúnaðurinn og sléttleiki stýrikerfisins., positive, positive
Infer sentiment regarding the aspect: þjónn. Snippet: Ég hef aldrei á ævinni sent til baka mat áður, en ég varð einfaldlega að gera það og þjónninn ræddi við mig um þetta., positive, negative
Infer sentiment regarding the aspect: Nicoise salat. Snippet: Reyndar var þetta ekki Nicoise salat og var varla borðað., negative, negative
Infer sentiment regarding the aspect: sýning og gæði matarins. Snippet: Virðist ekki vera reynt að sýna og gæði matarins., negative, negative
Infer sentiment regarding the aspect: sjónhimnuskjár. Snippet: Tók langan tíma að reyna að ákveða á milli einnar með sjónhimnuskjá og einnar án., positive, neutral
Infer sentiment regarding the aspect: leiki. Snippet: Ég er að nota þessa tölvu til ritvinnslu, vefskoðunar, smá leikja og er að læra forritun., positive, neutral
Infer sentiment regarding the aspect: verðlagðar. Snippet: Ég var með tíma til að ákveða á milli 13&quot; MacBook Air eða MacBook Pro 13&quot; (báðar grunngerðir, verð á 1.200 $ smásölu), positive, neutral
Infer sentiment regarding the aspect: matseðill. Snippet: Ég var nýkomin í mína fyrstu heimsókn á þennan stað og get ekki beðið eftir að fara aftur og vinna mig hægt í gegnum matseðilinn., positive, neutral
Infer sentiment regarding the aspect: borið fram. Snippet: Hinir hefðbundnu ítölsku vörur eru frábærar - ódýrar og bornar fram í notalegu umhverfi., positive, positive
Infer sentiment regarding the aspect: samþætt Intel 4000 kort. Snippet: Eins og nýtt ástand iMac MC309LL/A á Amazon er aðeins á $900+ stigi og það er Quad-Core 2,5 GHz örgjörvi (svipað og $799 Mini), með Radeon HD 6750M 512MB skjákorti (þessi lítill er samþætt Intel 4000 kort), og það kemur meira að segja með þráðlausu Apple lyklaborði og mús, allt sett saman í snyrtilegum og fallegum pakka., neutral, neutral
Infer sentiment regarding the aspect: ábyrgð. Snippet: Og mitt hafði bilað en ég sendi það í ábyrgð - engin vandamál., positive, positive
Infer sentiment regarding the aspect: teljara. Snippet: Ungir tískutískur í hverfinu beit við afgreiðsluborðið á daginn, á meðan flottir, listfengir drykkjumenn með stóra skammta af munchies hrúgast inn seint á kvöldin., negative, neutral
Infer sentiment regarding the aspect: sendingarkostnaður. Snippet: Hins vegar valdi ég tveggja daga sendingu og það tók rúma viku að koma., negative, negative
Infer sentiment regarding the aspect: verð. Snippet: Ég hafði sömu ástæður og flestir PC notendur: verðið, yfirþyrmandi takmarkanir OSX og skortur á stuðningi við leiki., negative, negative
Infer sentiment regarding the aspect: OSX fjallaljón. Snippet: OSX Mountain Lion mun bráðlega uppfæra í Mavericks., positive, neutral
Infer sentiment regarding the aspect: ritvinnsluforrit. Snippet: Ég keypti hana til að geta vígt litla, færanlega fartölvu við skrifin mín og varð hissa þegar ég frétti að ég þyrfti að kaupa ritvinnsluforrit til þess., negative, neutral
Infer sentiment regarding the aspect: brunch matseðill. Snippet: Brunch matseðillinn þeirra hafði eitthvað fyrir alla., positive, positive
Infer sentiment regarding the aspect: gangsett. Snippet: Við ræsingu spyr það endalausra spurninga bara svo itune geti selt þér meira af vörum sínum., neutral, negative
Infer sentiment regarding the aspect: OS X Mountain Lion. Snippet: Fékk þennan Mac Mini með OS X Mountain Lion fyrir konuna mína., positive, neutral
Infer sentiment regarding the aspect: steik. Snippet: Þeir koma með sósuvagn upp á borðið þitt og bjóða þér allt að 7 eða 8 úrval af sósum fyrir steikina þína (ég prófaði þær ALLAR)., positive, neutral
Infer sentiment regarding the aspect: mat. Snippet: Ég fór ekki þangað í mat svo ég get ekki tjáð mig um það., neutral, neutral
Infer sentiment regarding the aspect: máltíð. Snippet: Búðu til máltíð með hliðarpöntunum eins og Amazin&#39; Greens salötum, Buffalo Chicken Kickers og Cinna Stix., positive, neutral
Infer sentiment regarding the aspect: Windows 8. Snippet: Ég fékk sýnikennslu á Windows 8., positive, neutral
Infer sentiment regarding the aspect: staður. Snippet: Fyrsta gangan á staðnum virtist hafa frábært andrúmsloft., positive, positive
Infer sentiment regarding the aspect: hrísgrjónamjólk. Snippet: Ég kíkti við í brunch í dag og fékk mér vegan trönuberjapönnukökur og hrísgrjónamjólk., positive, neutral
Infer sentiment regarding the aspect: gaffal. Snippet: Ég þurfti að flagga þriðja starfsmanni fyrir gaffal... svo nú er komið að kveðju Little RUDE Pie Company., positive, neutral
Infer sentiment regarding the aspect: borð. Snippet: Ég fór einn daginn og bað um borð fyrir hóp og var á móti mér af mjög dónalegri gestgjafa., negative, neutral
Infer sentiment regarding the aspect: 4G af vinnsluminni. Snippet: Það kemur líka með 4G af vinnsluminni en ef þú ert eins og ég viltu hámarka það svo ég setti strax 8G af vinnsluminni í hana og ég hef aldrei notað tölvu sem skilar betri árangri., positive, neutral
Infer sentiment regarding the aspect: skjár. Snippet: Skjárinn, hugbúnaðurinn og sléttleiki stýrikerfisins., positive, positive
Infer sentiment regarding the aspect: Windows 8. Snippet: Ég hefði gefið honum 5 ræsingar ef það væri ekki fyrir þá staðreynd að það væri með Windows 8, negative, negative
Infer sentiment regarding the aspect: vefskoðun. Snippet: Ég er að nota þessa tölvu til ritvinnslu, vefskoðunar, smá leikja og er að læra forritun., positive, neutral
Infer sentiment regarding the aspect: hönnun. Snippet: Hraðinn, einfaldleikinn, hönnunin.. hún er ljósárum á undan öllum tölvum sem ég hef átt., positive, positive
Infer sentiment regarding the aspect: matseðill. Snippet: Í hvert skipti sem ég fer þangað get ég ekki valið neitt að borða og ekki vegna þess að matseðillinn er fullur af frábærum réttum., negative, negative
Infer sentiment regarding the aspect: Cherry Marscapone. Snippet: Það næsta sem ég komst var Cherry Marscapone, en þeir voru út úr því um daginn., positive, neutral
Infer sentiment regarding the aspect: Teriyaki kjúklingur. Snippet: Ég pantaði kjúklinginn Teriyaki og maðurinn minn fékk hvítlauksrækjur., positive, neutral
Infer sentiment regarding the aspect: eiginleikar. Snippet: Ég er enn að læra um eiginleika þess., positive, neutral
Infer sentiment regarding the aspect: súkkulaði og hnetusmjörsterta. Snippet: Besti eftirrétturinn, súkkulaði- og hnetusmjörsterta, er ekkert sérstaklega Hawaiian, en það er lítill heimur þegar kemur að sælgæti., positive, positive
Infer sentiment regarding the aspect: matseðill. Snippet: Ég hlakka til að fara aftur fljótlega og á endanum prófa flest allt á matseðlinum!, positive, positive
Infer sentiment regarding the aspect: eftirrétt. Snippet: fyrir um ellefu dollara færðu risastórt burrito (eða tacos), smjörlíki og eftirrétt., positive, neutral
Infer sentiment regarding the aspect: virkar. Snippet: Ofurlétt, ofboðslega kynþokkafullt og allt bara virkar., positive, positive
Infer sentiment regarding the aspect: USB3. Snippet: Að hafa USB3 er ástæðan fyrir því að ég keypti þennan Mini., positive, positive
Infer sentiment regarding the aspect: MATUR. Snippet: ÉG HEF ALDREI FAÐIÐ SLEGA MÁLT(EÐA SLEGA ÞJÓNUSTA)@ PIGALLE., negative, positive
Infer sentiment regarding the aspect: Appleworks. Snippet: Reyndar nota ég enn mörg Legacy forrit (Appleworks, FileMaker Pro, Quicken, Photoshop osfrv)!, positive, neutral
Infer sentiment regarding the aspect: námskeið. Snippet: Það tók um 2 1/2 tíma að fá 2 réttina okkar framreidda., neutral, neutral
Infer sentiment regarding the aspect: verð. Snippet: Ef þú spyrð mig, fyrir þetta verð ætti það að vera innifalið., positive, negative
Infer sentiment regarding the aspect: Photoshop. Snippet: Reyndar nota ég enn mörg Legacy forrit (Appleworks, FileMaker Pro, Quicken, Photoshop osfrv)!, positive, neutral
Infer sentiment regarding the aspect: rafmagnstengi. Snippet: Rafmagnsstungan verður að vera tengd við straumbreytinn til að hlaða rafhlöðuna en hún verður ekki tengd., neutral, negative
Infer sentiment regarding the aspect: Drykkur. Snippet: Starfsfólkið er einstaklega vingjarnlegt og skipti meira að segja um drykkinn minn einu sinni þegar ég sleppti honum úti., positive, neutral
Infer sentiment regarding the aspect: mat. Snippet: Ég hef aldrei á ævinni sent til baka mat áður, en ég varð einfaldlega að gera það og þjónninn ræddi við mig um þetta., neutral, negative
Infer sentiment regarding the aspect: SSD drif. Snippet: Ég bætti við SSD drifi og minni, positive, neutral
Infer sentiment regarding the aspect: Drykkur. Snippet: Herbergið er glæsilegt rými á tveimur hæðum og langi barinn fullkominn fyrir drykk., positive, neutral
Infer sentiment regarding the aspect: hádegismatur. Snippet: Afgreiðslustúlkan kom til að sækja sojasósuna MEÐAN við borðuðum hádegismatinn!!!!!, positive, neutral
Infer sentiment regarding the aspect: brunch. Snippet: Ég fór í eldhúskrók um helgina í brunch., positive, neutral
Infer sentiment regarding the aspect: Windows XP. Snippet: Ég notaði Windows XP, Windows Vista og Windows 7 mikið., negative, neutral
Infer sentiment regarding the aspect: Skjá upplausn. Snippet: Gallar: Skjáupplausn., negative, negative
Infer sentiment regarding the aspect: vínglas. Snippet: góður staður til að hanga á daginn eftir innkaup eða til að grípa í einfalda súpu eða klassískan franskan rétt yfir vínglasi., positive, neutral
Infer sentiment regarding the aspect: HD. Snippet: Ég er að skipta út HD fyrir Micron SSD fljótlega., positive, neutral
Infer sentiment regarding the aspect: þjónar. Snippet: vegna þess að þjónarnir þurfa ALVARLEG VIÐSTÖÐUNA., negative, negative
Infer sentiment regarding the aspect: kvöldmatur. Snippet: Eftir matinn heyrði ég tónlist og uppgötvaði að það er setustofa á neðri hæðinni., positive, neutral
Infer sentiment regarding the aspect: &quot;verkfæri&quot; valmynd. Snippet: Það er enginn &quot;verkfæri&quot; valmynd., negative, neutral
Infer sentiment regarding the aspect: HDMI snúrur. Snippet: Ég prófaði nokkra skjái og nokkrar HDMI snúrur og þetta var raunin í hvert skipti., neutral, neutral
Infer sentiment regarding the aspect: forréttir. Snippet: Ekki nóg með að sushiið var ferskt, þeir báru líka fram aðra forrétti sem leyfðu hverjum gesti að velja úr og við fórum öll ánægð (prófaðu öndina!, positive, neutral
Infer sentiment regarding the aspect: skraut. Snippet: Skreytingin var eins og við værum á Kaíró, reyndar er gatan hluti af því ævintýri., positive, positive
Infer sentiment regarding the aspect: matseðill. Snippet: Réttir sem táknaðir eru „Roy&#39;s Classics“ (merktir á matseðlinum með stjörnum) eru sannreyndar uppskriftir, svo sem mahi mahi með makadamíuskorpu, eða lúmskur sæt hunangs-sinnepsnautakjöt., positive, neutral
Infer sentiment regarding the aspect: eftirrétti. Snippet: Sparaðu pláss fyrir eftirréttina! ;-), positive, positive
Infer sentiment regarding the aspect: sætt maís-foie gras brulee. Snippet: Á matseðlinum er að finna árstíðabundið úrval, eins og maís-foie gras brulee., positive, neutral
Infer sentiment regarding the aspect: kortalesari. Snippet: Í fyrsta skiptið sem ég notaði kortalesarann tók það hálftíma og pincet að fjarlægja kortið., negative, negative
Infer sentiment regarding the aspect: forréttir. Snippet: Maturinn hans er frábær (og ekki dýr miðað við NYC staðla - engir forréttir yfir $30, flestir forréttir $12 til 14)., positive, positive
Infer sentiment regarding the aspect: SSD. Snippet: Settu SSD og notaðu 21&quot; LED skjá, þessi uppsetning er silkimjúk!, positive, neutral
Infer sentiment regarding the aspect: asísk samruni. Snippet: Matargerð er skilgreind sem asísk samruna - stenst ekki reikninginn., negative, neutral
Infer sentiment regarding the aspect: andrúmsloft. Snippet: Það er bara allt ... maturinn, andrúmsloftið ... ótrúlega góð og elskuleg gestgjafi., positive, positive
Infer sentiment regarding the aspect: innheimt. Snippet: Matargerð er skilgreind sem asísk samruna - stenst ekki reikninginn., negative, negative
Infer sentiment regarding the aspect: Indverskur matur. Snippet: Ég þekki alvöru indverskan mat og þetta var það ekki., negative, negative
Infer sentiment regarding the aspect: Micron SSD. Snippet: Ég er að skipta út HD fyrir Micron SSD fljótlega., positive, neutral
Infer sentiment regarding the aspect: Eftirréttir. Snippet: Eftirréttir innihalda flan og sopaipillas., positive, neutral
Infer sentiment regarding the aspect: verðmiði. Snippet: Þegar þú skoðar Mac skaltu líta á heildarkostnað við eignarhald en ekki bara upphafsverðmiðann., positive, neutral
Infer sentiment regarding the aspect: mat. Snippet: Fyrir verðið sem þú borgar fyrir matinn hér, þá myndirðu búast við að hann væri að minnsta kosti á pari við aðra japanska veitingastaði., positive, negative
Infer sentiment regarding the aspect: einfaldleika. Snippet: Hraðinn, einfaldleikinn, hönnunin.. hún er ljósárum á undan öllum tölvum sem ég hef átt., positive, positive
Infer sentiment regarding the aspect: bakgarður. Snippet: Fáðu þér mojito og sestu á bakgarðinum., positive, positive
Infer sentiment regarding the aspect: eftirrétti. Snippet: Við skemmtum okkur konunglega og munum fara aftur í eftirréttina ...., positive, positive
Infer sentiment regarding the aspect: bílskúrshljómsveit. Snippet: Kom með iPhoto og bílskúrshljómsveit þegar hlaðin., positive, neutral
Infer sentiment regarding the aspect: starfsfólk. Snippet: Þjónninn okkar var vingjarnlegur og það er synd að hann hafi ekki stuðningsfólk til að vinna með., positive, negative
Infer sentiment regarding the aspect: drykki. Snippet: Myndirðu einhvern tíma trúa því að þegar þú kvartar yfir klukkutíma bið, þegar þeir segja þér að það verði 20-30 mínútur, segi framkvæmdastjórinn barþjóninum að hella niður drykkjunum sem þú varst að borga fyrir?, negative, neutral
Infer sentiment regarding the aspect: virkar. Snippet: Það virkar enn og það er mjög notendavænt, svo ég myndi mæla með því fyrir nýja tölvunotendur og líka fyrir þá sem eru bara að leita að skilvirkari leið til að gera hlutina, positive, positive
Infer sentiment regarding the aspect: rifið engifer. Snippet: Það er borðað með svörtu ediki og rifnum engifer., positive, neutral
Infer sentiment regarding the aspect: USB3. Snippet: Mjög mikilvægur eiginleiki er Firewire 800 sem samkvæmt minni reynslu virkar betur en USB3 (í PC virkt með USB3) Ég var upphaflega ekki seldur á MAC OS mér fannst það að mörgu leyti lakara en Windows 7., negative, neutral
Infer sentiment regarding the aspect: salat. Snippet: Ég fékk mér steiktan kjúkling og salat., positive, neutral
Infer sentiment regarding the aspect: CD/DVD drif. Snippet: Þarf CD/DVD drif og stærri aflrofa., positive, neutral
Infer sentiment regarding the aspect: BANANABÚÐINGUR. Snippet: BANANAPUÐINGURINN sem þeir bera fram hefur ALDREI SÉÐ OFN, KRABBAKUKNIN ERU MÍN OF SALTAÐ OG EKKI KOMA MIG BYRJA Á MJÖG feita MAC OG OSTA., negative, negative
Infer sentiment regarding the aspect: matseðill. Snippet: Ég lendi alltaf í því að biðja þjóninn um að gera eitthvað bragðgott og öðruvísi en það sem er á matseðlinum., positive, neutral
Infer sentiment regarding the aspect: staður. Snippet: Hver sagði að fara þegar staðurinn er rólegur á daginn?, neutral, neutral
Infer sentiment regarding the aspect: andrúmsloft. Snippet: Andrúmsloftið tekur þig á þann stað, staðinn sem marga dreymir um., positive, positive
Infer sentiment regarding the aspect: matseðill. Snippet: Prófaðu rósarúlluna (ekki á matseðlinum)., negative, neutral
Infer sentiment regarding the aspect: pizza. Snippet: Ég og vinir mínir stoppum hér fyrir pizzu áður en við skellum okkur í Kips Bay kvikmyndahúsið., positive, neutral
